Material;Nombre;Cantidad;Unidad;Lote_Orig;Alm_Orig;Centro_Orig;Alm_Dest;Centro_Dest;Lote_Dest;Texto_Cabecera;Planta;Unnamed: 12;Unnamed: 13;Unnamed: 14;Estimados, ;Unnamed: 16;Unnamed: 17;Unnamed: 18;Fecha_Reporte;Semana;Categoria
3657.0;VIENESA TRADICIONAL;31.0;UN;6070060401.0;NCD1;SGSJ;CDNW;SGSJ;REPROCP1;Perdida de vacio;P1;;;;;;;;2025-12-11;50;Embutidos
1053.0;VIENESA TRADICIONAL;14.0;UN;6070060415.0;NCD1;SGSJ;CDNW;SGSJ;REPROCP1;Perdida de vacio;P1;;;;;;;;2025-12-11;50;Embutidos
3661.0;VIENESA TRADICIONAL;8.0;UN;6016536566.0;NCD1;SGSJ;CDNW;SGSJ;REPROCP1;Perdida de vacio;P1;;;;;;;;2025-12-11;50;Embutidos
8080.0;VIENESA TRADICIONAL;10.0;UN;6111041330.0;NCD1;SGSJ;CDNW;SGSJ;REPROCP1;Perdida de vacio;P1;;;;3661.0;8.0;UN;6016536566;2025-12-11;50;Embutidos
1433.0;VIENESA TRADICIONAL;38.0;UN;6016701977.0;NCD1;SGSJ;CDNW;SGSJ;REPROCP1;Perdida de vacio;P1;;;;1446.0;33.0;UN; 6111041389;2025-12-11;50;Embutidos
1064.0;VIENESA TRADICIONAL;1.0;UN;6016557548.0;NCD1;SGSJ;CDNW;SGSJ;REPROCP2;Perdida de vacio;P2;;;;1038.0;24.0;UN;6070060434;2025-12-11;50;Embutidos
3456.0;VIENESA TRADICIONAL;2.0;UN;6575072667.0;NCD1;SGSJ;CDNW;SGSJ;REPROCP2;Perdida de vacio;P2;;;;8080.0;10.0;UN;6111041330;2025-12-11;50;Embutidos
1066.0;VIENESA TRADICIONAL;5.0;UN;6016611120.0;NCD1;SGSJ;CDNW;SGSJ;REPROCP2;Perdida de vacio;P2;;;;1433.0;38.0;UN;6016701977;2025-12-11;50;Embutidos
3038.0;VIENESA TRADICIONAL;7.0;UN;33883586.0;NCD1;SGSJ;CDNW;SGSJ;REPROCP2;Perdida de vacio;P2;;;;1064.0;1.0;UN;6016557548;2025-12-11;50;Embutidos
1038.0;;24.0;un;6016684459.0;NCD1;SGSJ;CDNW;SGSJ;REPROCP1;Perdida de vacio;P1;;;;3456.0;2.0;UN;6575072667;2025-12-11;50;Otros
8080.0;VIENESA TRADICIONAL;10.0;UN;6111041316.0;NCD1;SGSJ;NCD1;SGSJ;6111041330;Perdida de vacio;P1;;;;1066.0;5.0;UN;6016611120;2025-12-11;50;Embutidos
;;0.0;;;;;;;;;;;;;3038.0;7.0;UN;33883586;2025-12-11;50;Otros
